Type,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_120.vsi - GFP, TRITC - C=1:c:2/2 z:31/52 - GFP, TRITC",364.523,64.918,32,118,23664.218,1802392
2,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_120.vsi - GFP, TRITC - C=1:c:2/2 z:31/52 - GFP, TRITC",232.284,830.429,309,1262,192895.545,14691945
3,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_120.vsi - GFP, TRITC - C=1:c:2/2 z:31/52 - GFP, TRITC",167.228,549.461,214,783,91885.53,6998488
4,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_120.vsi - GFP, TRITC - C=1:c:2/2 z:31/52 - GFP, TRITC",211.054,1021.973,396,1534,215691.612,16428214
,,,,,,,
1,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_122.vsi - GFP, TRITC - C=1:c:2/2 z:28/48 - GFP, TRITC",241.58,88.68,57,168,21423.368,1631717
2,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_122.vsi - GFP, TRITC - C=1:c:2/2 z:28/48 - GFP, TRITC",204.332,673.34,247,1023,137584.878,10479192
3,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_122.vsi - GFP, TRITC - C=1:c:2/2 z:28/48 - GFP, TRITC",137.95,568.274,299,778,78393.387,5970855
4,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_122.vsi - GFP, TRITC - C=1:c:2/2 z:26/48 - GFP, TRITC",153.823,1279.522,490,1724,196820.351,14990879
,,,,,,,
1,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_123.vsi - GFP, TRITC - C=1:c:2/2 z:29/51 - GFP, TRITC",279.012,75.656,37,377,21108.776,1607756
2,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_123.vsi - GFP, TRITC - C=1:c:2/2 z:29/51 - GFP, TRITC",133.433,566.54,274,811,75595.472,5757751
3,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_123.vsi - GFP, TRITC - C=1:c:2/2 z:29/51 - GFP, TRITC",136.532,447.555,256,653,61105.591,4654125
4,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_123.vsi - GFP, TRITC - C=1:c:2/2 z:31/51 - GFP, TRITC",96.986,1528.102,692,2005,148205.122,11288086
,,,,,,,
1,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_124.vsi - GFP, TRITC - C=1:c:2/2 z:31/52 - GFP, TRITC",245.584,92.028,56,135,22600.558,1721378
2,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_124.vsi - GFP, TRITC - C=1:c:2/2 z:31/52 - GFP, TRITC",229.225,482.054,235,675,110498.957,8416185
3,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_124.vsi - GFP, TRITC - C=1:c:2/2 z:31/52 - GFP, TRITC",181.697,527.276,334,715,95804.442,7296973
4,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_124.vsi - GFP, TRITC - C=1:c:2/2 z:32/52 - GFP, TRITC",157.736,1444.774,405,2052,227892.734,17357516
,,,,,,,
1,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_126.vsi - GFP, TRITC - C=1:c:2/2 z:31/52 - GFP, TRITC",326.802,70.795,42,128,23136.038,1762163
2,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_126.vsi - GFP, TRITC - C=1:c:2/2 z:31/52 - GFP, TRITC",166.454,507.075,182,718,84404.524,6428695
3,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_126.vsi - GFP, TRITC - C=1:c:2/2 z:31/52 - GFP, TRITC",113.346,378.173,155,539,42864.276,3264770
4,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_126.vsi - GFP, TRITC - C=1:c:2/2 z:31/52 - GFP, TRITC",150.712,951.255,293,1323,143365.319,10919461
,,,,,,,
1,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_127.vsi - GFP, TRITC - C=1:c:2/2 z:26/44 - GFP, TRITC",287.979,98.673,66,145,28415.621,2164284
2,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_127.vsi - GFP, TRITC - C=1:c:2/2 z:26/44 - GFP, TRITC",215.452,750.539,312,1251,161705.576,12316352
3,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_127.vsi - GFP, TRITC - C=1:c:2/2 z:26/44 - GFP, TRITC",167.058,609.382,258,1094,101801.924,7753773
4,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_127.vsi - GFP, TRITC - C=1:c:2/2 z:21/44 - GFP, TRITC",148.834,1421.931,508,1889,211632.033,16119015
,,,,,,,
1,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_129.vsi - GFP, TRITC - C=1:c:2/2 z:25/39 - GFP, TRITC",348.256,85.172,54,130,29661.635,2259187
2,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_129.vsi - GFP, TRITC - C=1:c:2/2 z:25/39 - GFP, TRITC",194.144,490.933,233,689,95311.566,7259433
3,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_129.vsi - GFP, TRITC - C=1:c:2/2 z:25/39 - GFP, TRITC",179.15,374.918,155,561,67166.514,5115757
4,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_129.vsi - GFP, TRITC - C=1:c:2/2 z:23/39 - GFP, TRITC",175.539,1224.079,430,1650,214874.021,16365942
,,,,,,,
